id;name;type;English text;German text;French text;Italian text;Spanish text
19803;1sap_fi08aj;3;FI - vendor open items for all fiscal years (accounts payable);FI - Offene Posten Kreditoren (alle Geschäftsjahre);FI- Postes ouverts Vendeurs pour toutes les années fiscales (comptes fournisseurs);Voci sospese dei fornitori per tutti gli anni fiscali (fattura passive);FI - partidas abiertas de proveedores para todos los ejercicios (cuentas por pagar)
19792;1sap_fi09aj;3;FI - customer open items for all fiscal years (accounts receivable);FI - Offene Posten Debitoren (alle Geschäftsjahre);Fi- Postes ouverts Clients pour toutes les années fiscales (comptes débiteurs);Voci sospese dei clienti per tutti gli anni fiscali (fatture attive);FI - partidas abiertas de clientes para todos los ejercicios (cuentas por cobrar)
19419;2sap_FI_beleganzeige;2;Document List (Header and Position);Beleganzeige (Belegkopf und Belegposition);Liste des Pièces (en-tête et position);Elenco documenti (Intestazione e Posizione);Lista de documentos (cabecera y posición)
19420;2sap_FI_dauerbuchungsurbelege;2;Reccuring documents;Dauerbuchungsurbelege;Pièces périodiques;Documenti ricorrenti;Documentos periódicos
19421;2sap_MB_materialbeleg;2;Material Document List (Header, Position, +FI document number);Materialbeleg anzeige (Belegkopf, Belegposition, +FI Beleg nummer);Liste des pièces matérielles (en-pièce, position, + numéro FI de la pièce);Elenco documenti del materiale (intestazione, posizione, +F1 numero del documento);Lista de documentos de material (cabecera, posición + número de documento FI)
19546;2sap_ps_psp_elemente;2;PSP-Elemente;PSP-Elemente;Eléments OTP;Elementi PSP;Elementos PEP (plan de estructura de proyecto)
19550;am_aenderungsbelege_anlagenstammsatz;2;Change Documents Asset master data;Änderungsbelege Anlagenstammsatz;Modifier les données de base des pièces des immobilisations;Documenti di modifica dati originali dei beni;Modificación de los datos maestros de activos en documento 
19757;am_anlagenabgaenge;2;Asset Retirements;Anlagenabgänge;Mise hors service des immobilisations;Ritiro dei beni;Bajas de activos
19758;am_anlagenabgaenge_filter;3;Asset Retirements;Anlagenabgänge;Mise hors service des immobilisations;Ritiro dei beni;Bajas de activos
19717;am_anlagenbestand;2;Fixed Assets;Anlagenbestand;Immobilisations incorporelles;Beni fissi;Activos fijos
19718;am_anlagenbestand_filter;3;Fixed Assets;Anlagenbestand;Immobilisations incorporelles;Beni fissi;Activos fijos
19723;am_anlagengitter;2;asset history sheet;Anlagengitter;grille d'évolution des immobilisations ;Foglio di lavoro storia degli investimenti;cuadro con histórico de activos
19724;am_anlagengitter_filter;3;asset history sheet;Anlagengitter;grille d'évolution des immobilisations ;Foglio di lavoro storia degli investimenti;cuadro con histórico de activos
19330;am_anlagenstammsaetze;2;Asset Master Data;Anlagenstammsätze;Données de base des immobilisations;dati originali del bene;Datos maestros de activos
19681;am_anlagenstammsaetze_filter;3;Asset Master Data;Anlagenstammsätze;Données de base des immobilisations;dati originali del bene;Datos maestros de activos
19633;am_anlagenstamm_bewertungsbereiche;2;Asset Master Data with Real description area;Anlagenstammsatze, Bewertungsbereiche zum Anlagenstammsatz;Donnes de base des immobilisations avec les rapports d'évaluation;dati originali dei beni con area di descrizione reale;Datos maestros de activos con área de descripción real
19779;am_anlagenumbuchungen;2;Asset Transfer;Anlagenumbuchungen;transferts d'immobilisation;trasferimento dei beni;Transferencia de activos
19780;am_anlagenumbuchungen_filter;3;Asset Transfer;Anlagenumbuchungen;transferts d'immobilisation;trasferimento dei beni;Transferencia de activos
19777;am_anlagenzugaenge;2;Asset Acquisitions;Anlagenzugänge;acquisitions d'immobilisation;Acquisizione dei beni;Altas de activos
19778;am_anlagenzugaenge_filter;3;Asset Acquisitions;Anlagenzugänge;acquisitions d'immobilisation;Acquisizione dei beni;Altas de activos
19745;ap_bankdatenuebersicht_kreditor;2;Bank Data for Vendor;Bankdatenübersicht zu Kreditor;Données bancaires pour les Vendeurs;Dati bancari fornitore;Datos bancarios para proveedores
19746;ap_bankdatenuebersicht_kreditor_filter;3;Bank Data for Vendor;Bankdatenübersicht zu Kreditor;Données bancaires pour les Vendeurs;Dati bancari fornitore;Datos bancarios para proveedores
19747;ap_kreditorensalden;2;Vendor Balances in local currency (accounts payable);Saldenliste Kreditoren (in Hauswährung);Soldes Vendeurs en devise locale (comptes fournisseurs);bilanci fornitori nella valuta locale (fatture passive);Saldos de proveedores en moneda local (cuentas por pagar)
19748;ap_kreditorensalden_filter;3;Vendor Balances in local currency (accounts payable);Saldenliste Kreditoren (in Hauswährung);Soldes Vendeurs en devise locale (comptes fournisseurs);bilanci fornitori nella valuta locale (fatture passive);Saldos de proveedores en moneda local (cuentas por pagar)
19753;ap_kreditorentransaktionen;2;Vendor transactions (accounts payable);Kreditorentransaktionen;Transactions Vendeurs (comptes fournisseurs);transazioni fornitore (fatture passive);Operaciones de proveedores (cuentas por pagar)
19754;ap_kreditorentransaktionen_filter;3;Vendor transactions (accounts payable);Kreditorentransaktionen;Transactions Vendeurs (comptes fournisseurs);transazioni fornitore (fatture passive);Operaciones de proveedores (cuentas por pagar)
19721;ap_lieferantenstamm;2;vendor master data (accounts payable);Kreditorenstamm;Données de base Vendeurs (comptes fournisseurs);dati originali fornitore (fatture passive);datos maestros de proveedores (cuentas por pagar)
19722;ap_lieferantenstamm_filter;3;vendor master data (accounts payable);Kreditorenstamm;Données de base Vendeurs (comptes fournisseurs);dati originali fornitore (fatture passive);datos maestros de proveedores (cuentas por pagar)
19749;ar_bankdatenuebersicht_debitor;2;Bank Data for Customer;Bankdatenübersicht zu Debitor;Données bancaires pour les Clients;dati bancari cliente;Datos bancarios del cliente
19750;ar_bankdatenuebersicht_debitor_filter;3;Bank Data for Customer;Bankdatenübersicht zu Debitor;Données bancaires pour les Clients;dati bancari cliente;Datos bancarios del cliente
19352;ar_debitorenmahndaten;2;Customer dunning data;Debitorenmahndaten;Données relance des Clients;dati di sollecito del cliente;Datos de reclamaciones de clientes
19751;ar_debitorensalden;2;Customer balances in local currency (accounts receivable);Saldenliste Debitoren (in Hauswährung);Soldes Clients en devise locale (comptes clients);saldi debitore nella valuta locale (fatture attive);Saldos de clientes en moneda local (cuentas por cobrar)
19752;ar_debitorensalden_filter;3;Customer balances in local currency (accounts receivable);Saldenliste Debitoren (in Hauswährung);Soldes Clients en devise locale (comptes clients);saldi debitore nella valuta locale (fatture attive);Saldos de clientes en moneda local (cuentas por cobrar)
19729;ar_debitorentransaktionen;2;Customer Transactions (accounts receivable);Debitorentransaktionen;Transactions Clients (comptes clients);transazioni cliente (fatture attive);Operaciones de clientes (cuentas por cobrar)
19730;ar_debitorentransaktionen_filter;3;Customer Transactions (accounts receivable);Debitorentransaktionen;Transactions Clients (comptes clients);transazioni cliente (fatture attive);Operaciones de clientes (cuentas por cobrar)
19719;ar_kundenstamm;2;Customer master data (accounts receivable);Kundenstamm;Données de base Clients (comptes clients);dati originali cliente (fatture attive);Datos maestros de clientes (cuentas por cobrar)
19720;ar_kundenstamm_filter;3;Customer master data (accounts receivable);Kundenstamm;Données de base Clients (comptes clients);dati originali cliente (fatture attive);Datos maestros de clientes (cuentas por cobrar)
19776;blg_bilanz_guv;3;Balance sheet and P/L statement;Bilanz und GuV;Bilan et le compte de profits et pertes;Stato patrimoniale e conto economico;Balance de situación y cuenta de pérdidas y ganancias
19696;bu_psp_einzelposten;2;CJI3 PSP actual cost line item;CJI3 PSP einzelposten;CJI3 PSP postes individuels des coûts réels;fattore linea costo attivo CJI3 PSP;CJI3 Partida individual de costes reales del proyecto PSP
19556;bu_psp_elemente;2;WBS Elements;PSP-Elemente;Eléments OTP;Elementi WBS;Elementos PEP
19809;co_auftraege_ist_plan_abweichnung_gruppen;2;Order: Actual/Plan/Deviation on Group Level;Auftrag: Ist/Plan/Abweichung auf Gruppenebene;Mission: Réel/Prévu/Déviation au niveau du Groupe;Ordine: effettivo / programma / deviazione livello del gruppo;Orden: Real/Plan/Desviación a nivel de grupo
19810;co_auftraege_ist_plan_abweichnung_io;2;Order: Actual/Plan/Deviation on IO-Level; Auftrag: Ist/Plan/Abweichung auf IO-Ebene;Mission: Réel/Prévu/Déviation au niveau entrées/sorties;ordine: effettivo / programma / deviazione sul livello IO;Orden: Real/Plan/Desviación a nivel de orden interna (IO)
19349;co_kostenartengruppenhierarchie;2;Cost Element Hierarchy;Kostenartenhierarchie;Hiérarchie des éléments de coûts;Classifica costo;Jerarquía de clases de costes
19741;co_kostenartenliste;2;Cost Element List;Kostenarten liste;Liste des éléments de coûts;Elenco costo;Lista de clases de costes
19742;co_kostenartenliste_filter;3;Cost Element List;Kostenarten liste;Liste des éléments de coûts;Elenco costo;Lista de clases de costes
19688;co_kostenrechnungseinzelposten;2;KSB1 Cost Accounting Detail Line;KSB1 Kostenrechnungseinzelposten;KSB1 postes détaillés de comptabilisation des coûts;dettaglio della contabilità in uscita KSB1;KSB1 Línea detallada de contabilidad de costes
19768;co_kostenstellenliste;2;Cost Center List;Kostenstellenliste;Liste des Centres de Coûts ;Elenco del centro di costo;Lista de centros de coste
19797;co_leistungsverrechnung;2;Activity Type Verrechnung;ZCOUSU03 Leistungsverrechnungen;Imputations des coûts de production;conteggio tipo di attività ;Asignación del tipo de actividad 
19774;co_profitcenterliste;2;Profit Center List;Profit center liste;Liste du centre de profit;elenco centro del profitto;Lista de centros de beneficio
19775;co_profitcenterliste_filter;3;Profit Center List;Profit center liste;Liste du centre de profit;elenco centro del profitto;Lista de centros de beneficio
19807;co_statistische_kennzahlen;2;KB33N Display Statistical Key Figures ;KB33N Statistische Kennzahlen anzeigen;KB33N Afficher les chiffres statistiques clés; KB33N visualizzazione elementi chiave statistici;KB33N Visualizar valores estadísticos
19549;ek_bestellaenderungen;2;Order Changes;Bestelländerungen;Modifications de la commande;modifiche dell'ordine;Modificaciones de pedidos
19755;ek_bestellanforderungen;2;Purchase Requisition;Bestellanforderungen;demande d'achat;richiesta scritta di acquisto;Solicitud de pedidos
19756;ek_bestellanforderungen_filter;3;Purchase Requisition;Bestellanforderungen;demande d'achat;richiesta scritta di acquisto;Solicitud de pedidos
19554;ek_bestellanf_aenderungen;2;Purchase Requisition Changes;Änderungen Bestellanforderungen;Modifications de la demande d'achat;modifiche richiesta scritta di acquisto;Modificaciones de solicitudes de pedidos
19794;ek_einkaufsbelege_bestellentwicklung;2;Purchase Document - Bestellentwicklung; Einkaufsbelege zum Lieferant - Bestellentwicklung;Document d'achat - historique de la commande;documenti acquisto;Documento de compra - Histórico de pedidos
19795;ek_einkaufsbeleg_langtext;2;Purchasing Document Long Text; Einkaufsbeleg Langtexte;Document d'achat Texte Long;documento di acquisto testo lungo;Texto explicativo del documento de compra
19796;ek_einkaufsbeleg_langtext_bestellung;2;Purchasing Document Long Text Order (Header); Einkaufsbeleg Langtexte Bestellung (Kopf);Document d'achat Texte Long (En-tête);documento di acquisto testo lungo (intestazione);Solicitud de texto explicativo de documento de compra (cabecera)
19793;ek_kopf_und_position;2;Purchase Document, header and position;Einkaufsbeleg Kopf und Position;Document d'achat, en-tête et position;documento di acquisto, intestazione e posizione;Documento de compra, cabecera y posición
