id;issue_name;name;table_name;column_name;database_name;English text;German text;French text;Italian text;Spanish text
1866;am_anlagenabgaenge_filter;in_afabe;am_anlagenabgaenge;AFABE;man_mag;Valutation area;Bewertungsbereich;domaine d'évaluation;Campo di valutazione;Área de valoración
1694;am_anlagenbestand_filter;in_afabe;am_anlagenbestand;AFABE;man_mag;Valutation area;Bewertungsbereich;domaine d'évaluation;Campo di valutazione;Área de valoración
1722;am_anlagengitter_filter;in_afabe;am_anlagengitter;AFABE;man_mag;Valutation area;Bewertungsbereich;domaine d'évaluation;Campo di valutazione;Área de valoración
1935;am_anlagenumbuchungen_filter;in_afabe;am_anlagenumbuchungen;AFABE;man_mag;Valutation area;Bewertungsbereich;domaine d'évaluation;Campo di valutazione;Área de valoración
1923;am_anlagenzugaenge_filter;in_afabe;am_anlagenzugaenge;AFABE;man_mag;Valutation area;Bewertungsbereich;domaine d'évaluation;Campo di valutazione;Área de valoración
1713;ap_lieferantenstamm_filter;in_akont;ap_lieferantenstamm;AKONT;man_mag;Reconciliation Account;Abstimmkonto;Compte de conciliation;Riconciliazione estratti conto;Conciliación de cuentas
1706;ar_kundenstamm_filter;in_akont;ar_kundenstamm;AKONT;man_mag;Reconciliation Account;Abstimmkonto;Compte de conciliation;Riconciliazione estratti conto;Conciliación de cuentas
1699;am_anlagenbestand_filter;in_anlbez;am_anlagenbestand;TXT50;man_mag;System code (Search string);Anlagenbezeichnung (Suchbegriff);code du système (clé de recherche);Codice di sistema (stringa di ricerca);Código del sistema (cadena de búsqueda)
1727;am_anlagengitter_filter;in_anlbez;am_anlagengitter;TXT50;man_mag;System code (Search string);Anlagenbezeichnung (Suchbegriff);Code du système (clé de recherche);Codice di sistema (stringa di ricerca);Código del sistema (cadena de búsqueda)
1604;am_anlagenstammsaetze_filter;in_anlbez;am_anlagenstammsaetze;TXT50;man_mag;System code (Search string);Anlagenbezeichnung (Suchbegriff);Code du système (clé de recherche);Codice di sistema (stringa di ricerca);Código del sistema (cadena de búsqueda)
1862;am_anlagenabgaenge_filter;in_anlkl;am_anlagenabgaenge;ANLKL;man_mag;Asset category;Anlagenklasse;catégorie d'immobilisation;Categoria dei beni;Categoría del activo
1690;am_anlagenbestand_filter;in_anlkl;am_anlagenbestand;ANLKL;man_mag;Asset category;Anlagenklasse;catégorie d'immobilisation;Categoria dei beni;Categoría del activo
1718;am_anlagengitter_filter;in_anlkl;am_anlagengitter;ANLKL;man_mag;Asset category;Anlagenklasse;catégorie d'immobilisation;Categoria dei beni;Categoría del activo
1601;am_anlagenstammsaetze_filter;in_anlkl;am_anlagenstammsaetze;ANLKL;man_mag;Asset category;Anlagenklasse;catégorie d'immobilisation;Categoria dei beni;Categoría del activo
1931;am_anlagenumbuchungen_filter;in_anlkl;am_anlagenumbuchungen;ANLKL;man_mag;Asset category;Anlagenklasse;catégorie d'immobilisation;Categoria dei beni;Categoría del activo
1919;am_anlagenzugaenge_filter;in_anlkl;am_anlagenzugaenge;ANLKL;man_mag;Asset category;Anlagenklasse;catégorie d'immobilisation;Categoria dei beni;Categoría del activo
1855;am_anlagenabgaenge_filter;in_anln1;am_anlagenabgaenge;ANLN1;man_mag;Asset number;Anlagennummer;Numéro principal d'immobilisation;Numero dei beni;Número del activo
1686;am_anlagenbestand_filter;in_anln1;am_anlagenbestand;ANLN1;man_mag;Asset number;Anlagennummer;Numéro principal d'immobilisation;Numero dei beni;Número del activo
1714;am_anlagengitter_filter;in_anln1;am_anlagengitter;ANLN1;man_mag;Asset number;Anlagennummer;Numéro principal d'immobilisation;Numero dei beni;Número del activo
1597;am_anlagenstammsaetze_filter;in_anln1;am_anlagenstammsaetze;ANLN1;man_mag;Asset number;Anlagennummer;Numéro principal d'immobilisation;Numero dei beni;Número del activo
1924;am_anlagenumbuchungen_filter;in_anln1;am_anlagenumbuchungen;ANLN1;man_mag;Asset number;Anlagennummer;Numéro principal d'immobilisation;Numero dei beni;Número del activo
1912;am_anlagenzugaenge_filter;in_anln1;am_anlagenzugaenge;ANLN1;man_mag;Asset number;Anlagennummer;Numéro principal d'immobilisation;Numero dei beni;Número del activo
1856;am_anlagenabgaenge_filter;in_anln2;am_anlagenabgaenge;ANLN2;man_mag;Sub-number;Unternummer;numéro subsidiaire;Sotto numero;Subnúmero
1687;am_anlagenbestand_filter;in_anln2;am_anlagenbestand;ANLN2;man_mag;Sub-number;Unternummer;numéro subsidiaire;Sotto numero;Subnúmero
1715;am_anlagengitter_filter;in_anln2;am_anlagengitter;ANLN2;man_mag;Sub-number;Unternummer;numéro subsidiaire;Sotto numero;Subnúmero
1598;am_anlagenstammsaetze_filter;in_anln2;am_anlagenstammsaetze;ANLN2;man_mag;Sub-number;Unternummer;numéro subsidiaire;Sotto numero;Subnúmero
1925;am_anlagenumbuchungen_filter;in_anln2;am_anlagenumbuchungen;ANLN2;man_mag;Sub-number;Unternummer;numéro subsidiaire;Sotto numero;Subnúmero
1913;am_anlagenzugaenge_filter;in_anln2;am_anlagenzugaenge;ANLN2;man_mag;Sub-number;Unternummer;numéro subsidiaire;Sotto numero;Subnúmero
1865;am_anlagenabgaenge_filter;in_anlue;am_anlagenabgaenge;ANLUE;man_mag;Asset Super Number;Anlagenübernummer;numéro de regroupement des immobilisations;Numero superiore dei beni;Supranúmero del activo
1693;am_anlagenbestand_filter;in_anlue;am_anlagenbestand;ANLUE;man_mag;Asset Super Number;Anlagenübernummer;numéro de regroupement des immobilisations;Numero superiore dei beni;Supranúmero del activo
1721;am_anlagengitter_filter;in_anlue;am_anlagengitter;ANLUE;man_mag;Asset Super Number;Anlagenübernummer;numéro de regroupement des immobilisations;Numero superiore dei beni;Supranúmero del activo
1934;am_anlagenumbuchungen_filter;in_anlue;am_anlagenumbuchungen;ANLUE;man_mag;Asset Super Number;Anlagenübernummer;numéro de regroupement des immobilisations;Numero superiore dei beni;Supranúmero del activo
1922;am_anlagenzugaenge_filter;in_anlue;am_anlagenzugaenge;ANLUE;man_mag;Asset Super Number;Anlagenübernummer;numéro de regroupement des immobilisations;Numero superiore dei beni;Supranúmero del activo
1780;fi_buchungsbelege_filter;in_awkey;fi_buchungsbelege;AWKEY;man_mag;Reference Key;Referenzschlüssel;clé de référence;Chiave di riferimento;Clave de referencia
1848;ek_bestellanforderungen_filter;in_banfn_bis;ek_bestellanforderungen;BANFN;man_mag;Until Purchase Requitement Document;Anforderungsbeleg bis;jusqu' au document des conditions d'achat ;Fino al documento di richiesta acquisto;Hasta el documento de requisito de compra
1847;ek_bestellanforderungen_filter;in_banfn_von;ek_bestellanforderungen;BANFN;man_mag;From Purchase Requirement Document;Anforderungsbeleg von bzw. Einzel;A partir du document des conditions d'achat;dal documento richiesta acquisto;A partir del documento de requisito de compra
1825;ap_bankdatenuebersicht_kreditor_filter;in_banka;ap_bankdatenuebersicht_kreditor;BANKA;man_mag;Bank name;Bankname;Nom de la banque;Nome della banca;Nombre del banco
1830;ar_bankdatenuebersicht_debitor_filter;in_banka;ar_bankdatenuebersicht_debitor;BANKA;man_mag;Bank name;Bankname;Nom de la banque;Nome della banca;Nombre del banco
1818;ue_bankstammdaten_filter;in_banka;ue_bankstammdaten;BANKA;man_mag;Bank name;Geldinstitut;Nom de la banque;Nome dell'istituto bancario;Nombre del banco
1817;ue_bankstammdaten_filter;in_bankl;ue_bankstammdaten;BANKL;man_mag;Bank Key;Bankschlüssel;Clé de la banque;Chiave bancaria;Clave de banco
1816;ue_bankstammdaten_filter;in_banks;ue_bankstammdaten;BANKS;man_mag;Country;Bankland;Pays;nazione;País
1810;fi_ust_voranmeldung_filter;in_belnr0;fi_ust_voranmeldung;BELNR;man_mag;or Document No.;oder Belegnr.;ou document n°;o Documento nr.;o documento nº
1801;fi_ust_voranmeldung_filter;in_belnr1;fi_ust_voranmeldung;BELNR;man_mag;or Document No.;oder Belegnr.;ou document n°;o Documento nr.;o documento nº
1802;fi_ust_voranmeldung_filter;in_belnr2;fi_ust_voranmeldung;BELNR;man_mag;or Document No.;oder Belegnr.;ou document n°;o Documento nr.;o documento nº
1803;fi_ust_voranmeldung_filter;in_belnr3;fi_ust_voranmeldung;BELNR;man_mag;or Document No.;oder Belegnr.;ou document n°;o Documento nr.;o documento nº
1804;fi_ust_voranmeldung_filter;in_belnr4;fi_ust_voranmeldung;BELNR;man_mag;or Document No.;oder Belegnr.;ou document n°;o Documento nr.;o documento nº
1805;fi_ust_voranmeldung_filter;in_belnr5;fi_ust_voranmeldung;BELNR;man_mag;or Document No.;oder Belegnr.;ou document n°;o Documento nr.;o documento nº
1806;fi_ust_voranmeldung_filter;in_belnr6;fi_ust_voranmeldung;BELNR;man_mag;or Document No.;oder Belegnr.;ou document n°;o Documento nr.;o documento nº
1807;fi_ust_voranmeldung_filter;in_belnr7;fi_ust_voranmeldung;BELNR;man_mag;or Document No.;oder Belegnr.;ou document n°;o Documento nr.;o documento nº
